Date,Holiday
2012-11-01,1
2013-11-01,1
2014-11-01,1
2015-11-01,1
2016-11-01,1
2017-11-01,1
2018-11-01,1
2019-11-01,1
2012-02-22,1
2013-02-13,1
2014-03-05,1
2015-02-18,1
2016-02-10,1
2017-03-01,1
2018-02-14,1
2019-03-06,1
2012-11-21,1
2013-11-20,1
2014-11-19,1
2015-11-18,1
2016-11-16,1
2017-11-22,1
2018-11-21,1
2019-11-20,1
2012-12-16,1
2013-12-15,1
2014-12-14,1
2015-12-13,1
2016-12-11,1
2017-12-17,1
2018-12-16,1
2019-12-15,1
2012-12-02,1
2013-12-01,1
2014-11-30,1
2015-11-29,1
2016-11-27,1
2017-12-03,1
2018-12-02,1
2019-12-01,1
2012-05-01,1
2013-05-01,1
2014-05-01,1
2015-05-01,1
2016-05-01,1
2017-05-01,1
2018-05-01,1
2019-05-01,1
2012-12-25,1
2013-12-25,1
2014-12-25,1
2015-12-25,1
2016-12-25,1
2017-12-25,1
2018-12-25,1
2019-12-25,1
2012-02-21,1
2013-02-12,1
2014-03-04,1
2015-02-17,1
2016-02-09,1
2017-02-28,1
2018-02-13,1
2019-03-05,1
2012-02-18,1
2013-02-09,1
2014-03-01,1
2015-02-14,1
2016-02-06,1
2017-02-25,1
2018-02-10,1
2019-03-02,1
2012-02-19,1
2013-02-10,1
2014-03-02,1
2015-02-15,1
2016-02-07,1
2017-02-26,1
2018-02-11,1
2019-03-03,1
2012-06-07,1
2013-05-30,1
2014-06-19,1
2015-06-04,1
2016-05-26,1
2017-06-15,1
2018-05-31,1
2019-06-20,1
2012-04-05,1
2013-03-28,1
2014-04-17,1
2015-04-02,1
2016-03-24,1
2017-04-13,1
2018-03-29,1
2019-04-18,1
2012-10-31,1
2013-10-31,1
2014-10-31,1
2015-10-31,1
2016-10-31,1
2017-10-31,1
2018-10-31,1
2019-10-31,1
2012-12-24,1
2013-12-24,1
2014-12-24,1
2015-12-24,1
2016-12-24,1
2017-12-24,1
2018-12-24,1
2019-12-24,1
2012-01-06,1
2013-01-06,1
2014-01-06,1
2015-01-06,1
2016-01-06,1
